"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1882171545587687670","Wed Jan 22 21:00:40 +0000 2025","198","ビットコインはトランプ氏の大統領令で15万ドルに ドージコイン(DOGE)がSECで優位性を確立し、トランプ就任前から4倍まで急騰。数日後に60%上昇確定 この影響で仮想通貨バブルが起こり、 #Bitcoin は 1万ドル以上の大急騰 が発生します そのタイミングは 「イイネとリプ」した人だけに教えます⇩ https://t.co/ynVA6EYpWq","1882171545587687670","https://pbs.twimg.com/ext_tw_video_thumb/1882087669125300224/pu/img/ga6F2r74v7IG5SbI.jpg","","ja","仮想通貨の仕込み時はこちらから→","4","64","86","https://x.com/BtcEren77/status/1882171545587687670","1336488417991921664","BtcEren77"
"1882384066919694650","Thu Jan 23 11:05:09 +0000 2025","161","Restrain the bear ️ @cz_binance @elonmusk $ODIN https://t.co/5zEjtqaZds","1882384066919694650","https://pbs.twimg.com/ext_tw_video_thumb/1882384035126669313/pu/img/gT9L4uvPRXS8CVnM.jpg","","en","Asgard, Valhalla","1","123","142","https://x.com/GodTheBtc/status/1882384066919694650","1763561839181365248","GodTheBtc"
"1883193623002612007","Sat Jan 25 16:42:02 +0000 2025","56","$BTC HOLDERS vs $ETH HOLDERShttps://t.co/jfxvuUYxEF","1883193623002612007","https://pbs.twimg.com/amplify_video_thumb/1882068688171368448/img/pbU8mm-C0NfykEq5.jpg","","en","Find my Socials here :","1","19","24","https://x.com/moneygurusumit/status/1883193623002612007","1704823090469822464","moneygurusumit"
"1881368718686691560","Mon Jan 20 15:50:31 +0000 2025","4445","if trump pumps btc to 115k today i ll give $115 to everyone that likes this tweet","1881368718686691560","","","en","","1","353","152","https://x.com/CryptoBheem/status/1881368718686691560","1399033636691849222","CryptoBheem"
"1883121530999336997","Sat Jan 25 11:55:34 +0000 2025","467","BULLISH: Charles Hoskinson explains how $ADA will flip all coins in crypto!!! Including $BTC #Cardano #Bitcoin https://t.co/fYWP6nqdDg","1883121530999336997","https://pbs.twimg.com/amplify_video_thumb/1847542250596909056/img/QVlLhYIKFM8hOuq7.jpg","","en","","1","13","79","https://x.com/LeaderAlphaNews/status/1883121530999336997","1725325859488477184","LeaderAlphaNews"
"1883028966753054979","Sat Jan 25 05:47:45 +0000 2025","754","Soon every billionaire will buy a billion dollars of #Bitcoin and the supply shock will be so great that we will stop measuring BTC in terms of fiat - Michael Saylor https://t.co/5nJNOq2muv","1883028966753054979","https://pbs.twimg.com/amplify_video_thumb/1883028831696470016/img/6P03sp76rciVnWiK.jpg","","en","","0","17","586","https://x.com/mamafi_platform/status/1883028966753054979","1656954965833687044","mamafi_platform"
"1883194171944730824","Sat Jan 25 16:44:13 +0000 2025","63","I feel like starting to remind people again that $LTC is going to $1000 very soon ","1883194171944730824","","","en","Hong Kong, China","0","10","4","https://x.com/KongBTC/status/1883194171944730824","983046985","KongBTC"
"1883177506964136350","Sat Jan 25 15:38:00 +0000 2025","86","If $BTC reach a new ATH today I will give $1 100 to one of you who like this tweet. Save it.","1883177506964136350","","","en","","1","11","4","https://x.com/SenseiBR_btc/status/1883177506964136350","1722330307892744192","SenseiBR_btc"
"1882875837801976090","Fri Jan 24 19:39:16 +0000 2025","67","0.45 #Bitcoin A person who retweets follows me will receive 0.45 $BTC ( $50.000 ) (yes for real) Retweet my pinned post https://t.co/1HWLZ2TT15","1882875837801976090","https://pbs.twimg.com/media/GiFRmIGWwAAqqGJ.jpg","","en","","1","61","66","https://x.com/Cryptoemperor06/status/1882875837801976090","1491826285911412737","Cryptoemperor06"
"1882130403903119657","Wed Jan 22 18:17:11 +0000 2025","12961","If Bitcoin hits $110 000 in next 24hrs I will giveaway $1 000 BTC to 5 people who like this post and are following me. https://t.co/RwnIVy56mU","1882130403903119657","https://pbs.twimg.com/media/Gh6rnzXXYAAYT2a.jpg","","en","Dubai","24","2126","2163","https://x.com/Ashcryptoreal/status/1882130403903119657","3185716686","Ashcryptoreal"
